Loc ID,LOCATION,SIG_TYPE,YEAR,CNT_DATE,HOURS,NB_SB_ST,EB_WB_ST,COUNCIL_DISTRICT,PED_VALUE,VEH_VALUE,SB_VALUE,WB_VALUE,NB_VALUE,EB_VALUE,X_COORDINATES,Y_COORDINATES
9,Ararat & Eastwood Trfwy,TS,2018,01/23/2018 12:00:00 AM,5,ARARAT DR,EASTWOOD TFWY,CD5,20,3561,319,1169,0,2073,2787615.03,1042911.93
10,Armour & Broadway,TS,2018,09/13/2018 12:00:00 AM,12,BROADWAY BLVD,W ARMOUR BLVD,CD4,255,16702,8307,2307,6088,0,2763052.52,1054971.34
11,Armour & Gillham,TS,2019,09/05/2019 12:00:00 AM,12,GILLHAM RD,E ARMOUR BLVD,CD4,501,13407,6004,2436,2938,2029,2765710.76,1054835.37
14,Armour & Main,TS,2018,09/12/2018 12:00:00 AM,12,MAIN ST,ARMOUR BLVD,CD4,717,22366,8753,3913,7305,2395,2764380.63,1054899.09
15,Armour & Paseo,TS,2019,10/23/2019 12:00:00 AM,12,PASEO BLVD,E ARMOUR BLVD,CD3,119,7682,2292,1005,2336,2049,2769656.72,1054643.31
16,Armour & Troost,TS,2018,06/05/2018 12:00:00 AM,5,TROOST AVE,E ARMOUR BLVD,CD3,457,5871,1725,1054,1631,1461,2768343.56,1054698.62
17,Armour & Warwick,TS,2019,01/31/2019 12:00:00 AM,12,WARWICK BLVD,E ARMOUR BLVD,CD4,244,5306,503,2266,654,1883,2765055.84,1054867.79
18,Bales & 9th St,TS,2019,10/17/2019 12:00:00 AM,12,BALES AVE,E 9TH ST,CD3,69,4333,0,2202,159,1972,2777205.91,1068846.39
20,Baltimore & 11th,TS-CBD,2018,03/27/2018 12:00:00 AM,5,BALTIMORE AVE,W 11TH ST,CD4,712,1902,379,774,749,0,2764793.71,1068397.99
21,Baltimore & 12th,TS-CBD,2017,08/24/2017 12:00:00 AM,12,BALTIMORE AVE,W 12TH ST,CD4,2028,5985,401,0,1400,4184,2764781.91,1068073.69
22,Baltimore & 13th,TS-CBD,2017,08/30/2017 12:00:00 AM,12,BALTIMORE AVE,W 13TH ST,CD4,1069,4706,804,2656,1246,0,2764766.02,1067593.63
23,Baltimore & 14th,TS-CBD,2017,08/24/2017 12:00:00 AM,5,BALTIMORE AVE,W 14TH ST,CD4,640,2720,361,213,670,1476,2764743.24,1067088.2
24,Baltimore & 18th,TS,2017,11/08/2017 12:00:00 AM,5,BALTIMORE AVE,W 18TH ST,CD4,203,2137,833,700,603,1,2764663.74,1065109.24
26,Baltimore & Southwest Blvd at 19th,TS,2017,12/12/2017 12:00:00 AM,5,BALTIMORE AVE,W 19TH ST/ SOUTHWEST BLVD,CD4,156,3070,479,1377,95,1119,2764642.9,1064596.49
27,Baltimore & Truman N Dr,TS-CBD,2017,05/11/2017 12:00:00 AM,12,BALTIMORE AVE,TRUMAN RD_ND,CD4,322,6341,1240,4319,782,0,2764727.36,1066799.81
28,Baltimore & Truman S Dr,TS-CBD,2017,02/09/2017 12:00:00 AM,12,BALTIMORE,TRUMAN RD_SD,CD4,165,4981,563,2,751,3665,2764720.08,1066601.19
29,Baltimore/JC Nichols/Ward Pkwy S Dr,TS-PLZ,2019,10/29/2019 12:00:00 AM,5,BALTIMORE AVE/JC NICHOLS PKWY,WARD PKWY (SD),CD4,169,6221,1633,1239,88,3261,2763669.4,1046236.79
30,Bannister & Blue Ridge,TS,2017,10/12/2017 12:00:00 AM,5,BLUE RIDGE BLVD,E BANNISTER RD,CD5,35,17946,3933,5186,4065,4762,2786449.83,1014317.46
31,Bannister & Drury,TS,2019,04/03/2019 12:00:00 AM,5,DRURY AVE,E BANNISTER RD,CD5,60,9747,53,4785,270,4639,2781570.33,1014584.85
